Period,Value1 book,Value2 sgs,Value sg,Value htg
12-Jul,785,3551,6213,1123
12-Aug,1836,3969,7682,1126
12-Sep,1097,3161,6290,1158
12-Oct,717,2959,5845,1275
12-Nov,755,3478,7109,1945
12-Dec,1318,5601,10987,2987
13-Jan,1659,3070,6530,1034
13-Feb,740,3016,5589,1084
13-Mar,705,3830,6624,1256
13-Apr,662,3427,5954,1122
13-May,818,3657,6377,1130
13-Jun,722,3954,6501,1070
13-Jul,703,3818,6440,1119
13-Aug,1562,4159,7704,1156
13-Sep,1101,3230,6326,1171
13-Oct,716,3161,6047,1349
13-Nov,740,3749,7523,2151
13-Dec,1318,5515,11137,3289
14-Jan,1474,2722,5959,1019
14-Feb,723,2802,5350,1090
14-Mar,677,3551,6239,1221
14-Apr,676,3518,6166,1204
14-May,785,3679,6408,1178
14-Jun,694,3932,6448,1089
14-Jul,698,3840,6489,1187
14-Aug,1686,4384,8096,1191
14-Sep,1061,3517,6660,1256
14-Oct,721,3433,6394,1361
14-Nov,724,3899,7658,2146
14-Dec,1326,5836,11724,3516
15-Jan,1479,2871,6250,1130
15-Feb,682,2864,5424,1160
15-Mar,652,3735,6531,1323
15-Apr,647,3617,6237,1224
15-May,746,3878,6634,1235
15-Jun,678,4152,6726,1156
15-Jul,687,4158,6790,1191
15-Aug,1535,4389,7903,1198
15-Sep,1053,3699,6854,1283
15-Oct,709,3470,6428,1433
15-Nov,714,3881,7599,2171
15-Dec,1300,6217,12095,3581
16-Jan,1404,3106,6410,1199
16-Feb,676,3237,5840,1230
16-Mar,670,4076,6917,1384
16-Apr,660,3794,6492,1259
16-May,729,3942,6688,1252
16-Jun,667,4635,7210,1196
16-Jul,643,4318,6908,1246
16-Aug,1476,4307,7777,1245
16-Sep,1026,3591,6726,1321
16-Oct,683,3400,6290,1433
16-Nov,713,3877,7599,2241
16-Dec,1238,5848,11452,3443
17-Jan,1375,2963,6213,1181
17-Feb,674,3038,5555,1180
17-Mar,692,3792,6633,1354
17-Apr,715,3654,6348,1277
17-May,769,3811,6562,1246
17-Jun,688,4115,6725,1178
17-Jul,650,3919,6505,1193
17-Aug,1374,4225,7646,1243
17-Sep,976,3567,6719,1349
17-Oct,651,3393,6340,1446
17-Nov,659,3984,7780,2241
17-Dec,1106,5504,10870,3259
18-Jan,1207,2784,5919,1186
18-Feb,634,3036,5621,1229
18-Mar,652,3800,6983,1717
18-Apr,624,3543,6258,1355
18-May,691,3794,6699,1435
18-Jun,632,4078,6733,1255
18-Jul,605,3860,6279,1042
18-Aug,1214,4072,7250,1096
18-Sep,863,3141,6011,1176
18-Oct,637,3207,5951,1274
18-Nov,664,3691,7189,1975
18-Dec,1121,5011,9202,2085
19-Jan,1006,2743,5569,1116
19-Feb,574,2837,5173,1072
19-Mar,593,3650,6262,1245
19-Apr,639,3629,6159,1139
19-May,685,3776,6426,1213
19-Jun,604,4111,6574,1148
19-Jul,581,4080,6538,1157
19-Aug,1107,4311,7495,1246
19-Sep,856,3355,6224,1231
19-Oct,637,3474,6327,1383
19-Nov,627,3771,7264,2030
19-Dec,1050,5258,9512,2271
20-Jan,967,2937,5779,1166
20-Feb,575,3046,5534,1193
20-Mar,393,3389,5195,858
20-Apr,171,2557,3430,357
20-May,263,4301,6230,1109
20-Jun,369,5763,8207,1405
20-Jul,415,5357,7862,1388
20-Aug,729,5004,7956,1480
20-Sep,583,4646,7534,1544
20-Oct,425,4518,7364,1623
20-Nov,461,4567,8143,2328
20-Dec,834,6648,10920,2501
